纳税人信用等级,社会信用代码,主管税务机关名称,生成时间,纳税人识别号,纳税人名称
A,911101055694935917,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101055694935917,鹏润国际大酒店有限公司
A,91110105569493989M,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105569493989M,北京鑫泰博延医学科技发展有限公司
A,911101055694940257,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101055694940257,恒瑞新创（北京）科技有限公司
A,911101055694940332,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101055694940332,北京帮仁餐饮管理有限公司
A,91110105569495319T,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105569495319T,北京龙立东方投资股份有限公司
A,9111010556949683XE,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,9111010556949683XE,北京亿家通科技有限公司
A,91110105569497373W,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105569497373W,北京世纪幸福之家家居装饰建材商城有限公司
A,91110108757720739L,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108757720739L,华尊融资担保有限公司
A,9111010874750838X4,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,9111010874750838X4,北京大洋信通科技有限公司
A,91110108799985911H,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108799985911H,北京健坤伟华新能源科技有限公司
A,91110102799987239C,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110102799987239C,北京易天泰投资管理有限责任公司
A,91110108777650264L,国家税务总局北京市昌平区税务局,5/4/2025 18:31:18,91110108777650264L,天根生化科技（北京）有限公司
A,91110108777650301T,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108777650301T,银河联动信息技术（北京）有限公司
A,911101088021014012,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101088021014012,北京京西颐园饭店有限公司
A,91110108756045970K,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108756045970K,北京麒麟雅苑餐饮有限公司
A,911101087552786093,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,911101087552786093,北京金城恒泰科技有限公司
A,91110108745487634A,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108745487634A,北京中高海普生物科技有限公司
A,911101087596026801,国家税务总局北京市通州区税务局,5/4/2025 18:31:18,911101087596026801,北京伟昊时代科技有限公司
A,911101081019071384,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101081019071384,北京金海翔建筑工程有限责任公司
A,91110108730537424Q,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,91110108730537424Q,中科华信（北京）工程咨询有限公司
A,9111010868762955XJ,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,9111010868762955XJ,北京赛尔广告有限公司
A,91110106757707147K,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,91110106757707147K,极速锋尚（北京）国际文化传播有限公司
A,91110108781722689K,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108781722689K,北京安达信通系统集成有限公司
A,911101087809524663,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101087809524663,央视后勤服务发展（北京）有限责任公司
A,91110108765523719Q,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108765523719Q,北京通软科技有限公司
A,91110105575152355F,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105575152355F,政投银投资咨询（北京）有限公司
A,91110105101631506A,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105101631506A,北京市朝阳区铁京辆消防设备经销部
A,91110105600039195N,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105600039195N,北京优耐燃气仪表有限公司
A,91110000633781871A,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110000633781871A,北京朝光汽车修理厂有限公司
A,91110102675748383F,国家税务总局北京市通州区税务局,5/4/2025 18:31:18,91110102675748383F,北京靓丽佳保洁服务有限公司
A,91110106742629772K,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,91110106742629772K,北京南风欧芬爱尔日用化学品有限责任公司
A,911101060613060039,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,911101060613060039,中航兴（北京）机电安装工程有限公司
A,91110106665643377U,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,91110106665643377U,北京巴旅天翔旅行社
A,91110106802217287A,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,91110106802217287A,北京伊麦特科技有限公司
A,91110106769350923T,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,91110106769350923T,北京SOIL仪器有限公司
A,9111010675131799XJ,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,9111010675131799XJ,北京瀚铭科技发展有限公司
A,911101060513970601,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,911101060513970601,北京威尔新兴物流有限公司
A,911101068022058762,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,911101068022058762,北京合欣园机电科技开发有限责任公司
A,91110101681969799G,国家税务总局北京市东城区税务局,5/4/2025 18:31:18,91110101681969799G,北京火凤凰餐饮管理有限公司
A,91110101567476886N,国家税务总局北京市东城区税务局,5/4/2025 18:31:18,91110101567476886N,华锦盛元国际货运代理（北京）有限公司
A,91110101790666068C,国家税务总局北京市东城区税务局,5/4/2025 18:31:18,91110101790666068C,北京嘉羽运通国际货运代理有限公司
A,911101025620623692,国家税务总局北京市西城区税务局,5/4/2025 18:31:18,911101025620623692,北京华通三可节能评估有限公司
A,91110102673801734Q,国家税务总局北京市西城区税务局,5/4/2025 18:31:18,91110102673801734Q,北京微科思微尔毕科技有限责任公司
A,911101027675454289,国家税务总局北京市通州区税务局,5/4/2025 18:31:18,911101027675454289,北京卓远领航教育咨询有限公司
A,9111010566690900XK,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,9111010566690900XK,富事高咨询（北京）有限公司
A,91110105693201912U,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105693201912U,西门子房地产经营管理（北京）有限公司
A,911101067855274504,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101067855274504,北京一维大成科技有限公司
A,91110106666911302D,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,91110106666911302D,北京七维健康科技股份公司
A,911101085877121613,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101085877121613,北京乾源典当有限公司
A,91110108764244646M,国家税务总局北京市昌平区税务局,5/4/2025 18:31:18,91110108764244646M,北京大衍致用旅游规划设计院
A,91110108565807581A,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108565807581A,北京三开科技股份有限公司
A,91110112774080948L,国家税务总局北京市通州区税务局,5/4/2025 18:31:18,91110112774080948L,北京东方晔林房地产经纪有限公司
A,911101127725662665,国家税务总局北京市通州区税务局,5/4/2025 18:31:18,911101127725662665,北京小护士纺织科技有限公司
A,91110112599675564U,国家税务总局北京市通州区税务局,5/4/2025 18:31:18,91110112599675564U,北京拓迈迩金属制品有限公司
A,911101127376908431,国家税务总局北京市门头沟区税务局,5/4/2025 18:31:18,911101127376908431,北京倍通普达国际贸易有限公司
A,91110102671733280U,国家税务总局北京市西城区税务局,5/4/2025 18:31:18,91110102671733280U,北京晟德智业文化传播有限公司
A,911101086605473007,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101086605473007,北京王氏济生中医医学研究中心
A,91110108675093129P,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108675093129P,清投智能（北京）科技有限公司
A,91110108571271568J,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108571271568J,北京乾坤欣业科技有限公司
A,91110108600480941X,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108600480941X,北京中设认证服务有限公司
A,91110112675087511J,国家税务总局北京市通州区税务局,5/4/2025 18:31:18,91110112675087511J,北京赛瑞迪普空间设计有限公司
A,911101017967338824,国家税务总局北京市东城区税务局,5/4/2025 18:31:18,911101017967338824,银钻（北京）投资顾问有限公司
A,911101080627700270,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101080627700270,北京胜辉缘达网络科技有限公司
A,91110108596030824T,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108596030824T,北京秦达嘉兴科技有限公司
A,911101051018600340,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101051018600340,北京市博亮木业有限公司
A,911101110765751694,国家税务总局北京市房山区税务局,5/4/2025 18:31:18,911101110765751694,北京诚德益医药科技有限公司
A,91110106MA002PBE00,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,91110106MA002PBE00,北京金合盛商贸有限公司
A,91110117582518255C,国家税务总局北京市平谷区税务局,5/4/2025 18:31:18,91110117582518255C,诺伊环保设备制造（北京）有限公司
A,91110115681233394Y,国家税务总局北京市大兴区税务局,5/4/2025 18:31:18,91110115681233394Y,北京高科兴业汽车腻子制造有限公司
A,911101125752314757,国家税务总局北京市通州区税务局,5/4/2025 18:31:18,911101125752314757,北京瑞康物业服务有限公司
A,91110105064895480E,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105064895480E,北京中乐盛帆科技有限公司
A,911101017214337034,国家税务总局北京市东城区税务局,5/4/2025 18:31:18,911101017214337034,北京国美嘉誉文化艺术有限公司
A,91110105590642539F,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105590642539F,北京德元通远人力资源管理有限公司
A,911101051016386793,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101051016386793,北京计算机三厂
A,911101055694985605,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101055694985605,中广视媒（北京）文化传播有限公司
A,91110105567499658D,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105567499658D,北京大巨龙橡塑制品有限公司
A,91110105567499682X,国家税务总局北京经济技术开发区税务局,5/4/2025 18:31:18,91110105567499682X,北京盛新商贸有限公司
A,911101050989090008,国家税务总局北京市通州区税务局,5/4/2025 18:31:18,911101050989090008,北京万佳首化生物科技有限公司
A,91110105099021345H,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105099021345H,北京环亚蓝地服装有限公司
A,911101050990215561,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101050990215561,北京环宇天地商贸有限公司
A,91110105099022540L,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110105099022540L,北京千慧知识产权咨询有限公司
A,911101050990232522,国家税务总局北京市延庆区税务局,5/4/2025 18:31:18,911101050990232522,北京清康瑞珏科技有限公司
A,911101050990234129,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101050990234129,北京京苑保洁服务有限公司
A,911101050990243949,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101050990243949,北京尚果创想科技有限公司
A,91110105099024669N,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105099024669N,北京天和中控科技有限公司
A,9111010509902532XN,国家税务总局北京市东城区税务局,5/4/2025 18:31:18,9111010509902532XN,北京巧思华夏物业管理有限公司
A,911101050990254340,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101050990254340,北京京城金牌搬家服务有限公司
A,91110105099027237C,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105099027237C,北京友宏伟业装饰工程有限公司
A,911101050990279589,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101050990279589,环球影画（北京）咨询有限公司
A,9111010509902815X4,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,9111010509902815X4,三兔广告传媒（北京）有限公司
A,91110105099028264D,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105099028264D,北京达通天地科技有限公司
A,91110105099028643Y,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105099028643Y,北京智迅杰营销咨询有限公司
A,911101050990288891,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101050990288891,北京人英国际企业管理咨询有限公司
A,911101050990615661,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101050990615661,北京齐热融融餐饮有限公司
A,91110105099061822H,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105099061822H,北京战友商贸有限公司
A,91110105099062745E,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105099062745E,北京锦绣瑞成贸易有限公司
A,91110105099062809C,国家税务总局北京市门头沟区税务局,5/4/2025 18:31:18,91110105099062809C,北京天明心凯成商务服务有限公司
A,91110105099063115G,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105099063115G,永诚康鑫财富投资管理（北京）有限公司
A,911101050990636766,国家税务总局北京市平谷区税务局,5/4/2025 18:31:18,911101050990636766,北京凯泽通科技有限公司
A,9111010509906373XY,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,9111010509906373XY,北京雷霆德瑞商贸有限公司
A,91110105MA00BRY66U,国家税务总局北京市平谷区税务局,5/4/2025 18:31:18,91110105MA00BRY66U,北京金信伟业广告有限公司
A,91110105MA00BT2J4A,国家税务总局北京经济技术开发区税务局,5/4/2025 18:31:18,91110105MA00BT2J4A,北京丰源天骏新能源科技有限公司
A,91110108691697766C,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110108691697766C,北京德凯立文化传播有限公司
A,91110105MA00BT3U0W,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA00BT3U0W,北京观媒信息技术有限公司
A,9111010869169782X5,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,9111010869169782X5,北京易思捷信息技术有限公司
A,91110105MA00BT7Y9J,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA00BT7Y9J,北京顺贵浩商贸有限公司
A,91110108691699868N,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108691699868N,国富浩华（北京）管理咨询有限公司
A,91110105MA00BTAXXG,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA00BTAXXG,北京志碳环境能源科技有限公司
A,91110108692300951D,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108692300951D,北京科威拜沃生物技术有限公司
A,91110105MA00BTD336,国家税务总局北京市怀柔区税务局,5/4/2025 18:31:18,91110105MA00BTD336,北京未来智盈信息咨询有限公司
A,91110108692302287R,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110108692302287R,北京南风科工应用技术有限公司
A,91110105MA00BTDE3H,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA00BTDE3H,今时兄弟（北京）网络科技有限公司
A,91110108692304522K,国家税务总局北京市房山区税务局,5/4/2025 18:31:18,91110108692304522K,北京联东装饰有限公司
A,91110105MA00BTDF1C,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA00BTDF1C,北京昱宸商贸有限公司
A,91110105MA00BTLH9Y,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA00BTLH9Y,明灏科技（北京）有限公司
A,91110108692305744E,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108692305744E,联德威软件科技（北京）有限公司
A,91110105MA00BTM9XA,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA00BTM9XA,谷泰映画（北京）影视文化传媒有限公司
A,91110108692306368D,国家税务总局北京市顺义区税务局,5/4/2025 18:31:18,91110108692306368D,北京石峰恒业电子有限公司
A,91110105MA00BTQ1X3,国家税务总局北京市怀柔区税务局,5/4/2025 18:31:18,91110105MA00BTQ1X3,北京遇身行文化传播有限公司
A,91110108692307002T,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108692307002T,北京东软越通软件技术有限公司
A,91110105MA00BU674W,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA00BU674W,北京天真有谐文化传媒有限公司
A,91110108692307264J,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108692307264J,北京怡妙嘉欣贸易有限公司
A,91110105MA00BUAA4N,国家税务总局北京市房山区税务局,5/4/2025 18:31:18,91110105MA00BUAA4N,北京合众康泰科技有限公司
A,91110108692307395E,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110108692307395E,北京世纪国彩信息服务有限公司
A,91110108692307854K,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108692307854K,中储互联（北京）信息技术有限公司
A,91110105MA00BUEF06,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA00BUEF06,北京裕星硕田商贸有限公司
A,911101086923091045,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101086923091045,北京友福通达财务服务有限公司
A,91110105MA00BUJ930,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA00BUJ930,减一（北京）艺术设计有限公司
A,91110105MA0085W75N,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110105MA0085W75N,乐直播（北京）网络科技有限公司
A,911101086750575667,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101086750575667,北京明达迈特贸易有限公司
A,91110105MA0086306U,国家税务总局北京市通州区税务局,5/4/2025 18:31:18,91110105MA0086306U,北京君曜科技有限公司
A,91110105MA00863L8N,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA00863L8N,北京有养成长传媒有限公司
A,91110108675058577J,国家税务总局北京市昌平区税务局,5/4/2025 18:31:18,91110108675058577J,北京三鼎创新科贸中心
A,91110105MA00865Q1G,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA00865Q1G,北京嘉越鑫瑞商贸有限公司
A,91110108675059078G,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108675059078G,北京欣博盛生物科技有限公司
A,91110105MA00867606,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA00867606,永达理保险经纪有限公司北京望京营业部
A,91110108675059123H,国家税务总局北京市昌平区税务局,5/4/2025 18:31:18,91110108675059123H,北京德顺天地电子科技有限公司
A,91110105MA0086C388,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA0086C388,格兰玛特机床设备（北京）有限公司
A,91110108675060589P,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108675060589P,北京才联智通管理顾问有限公司
A,91110105MA0086EE06,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105MA0086EE06,北京宇航乾程科技有限公司
A,91110109700287188H,国家税务总局北京市门头沟区税务局,5/4/2025 18:31:18,91110109700287188H,北京腾峰装饰工程有限公司
A,91110116MA0051Y2X1,国家税务总局北京市怀柔区税务局,5/4/2025 18:31:18,91110116MA0051Y2X1,欣远卓然（北京）教育科技有限公司
A,91110106592320998E,国家税务总局北京市平谷区税务局,5/4/2025 18:31:18,91110106592320998E,北京中仪北创科技发展有限公司
A,91110115306306125W,国家税务总局北京市大兴区税务局,5/4/2025 18:31:18,91110115306306125W,北京鑫泰盛达机电设备有限公司
A,911101080695671012,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101080695671012,北京厚通益和管理咨询有限责任公司
A,911101053065287996,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101053065287996,北京佳亿青年汇投资有限公司
A,91110108684350166H,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108684350166H,安真（北京）商贸有限公司
A,911101133302741432,国家税务总局北京市顺义区税务局,5/4/2025 18:31:18,911101133302741432,北京荣恒康泰工贸有限公司
A,91110302565842918X,国家税务总局北京经济技术开发区税务局,5/4/2025 18:31:18,91110302565842918X,北京中天和祥商贸有限公司
A,91110111MA002Q391Y,国家税务总局北京市房山区税务局,5/4/2025 18:31:18,91110111MA002Q391Y,北京恒安强商贸有限公司
A,91110112788974766C,国家税务总局北京市通州区税务局,5/4/2025 18:31:18,91110112788974766C,北京汉德鼎印刷有限公司
A,911101026828981286,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,911101026828981286,北京永佳合创科技有限公司
A,91110108MA0015727M,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110108MA0015727M,北京亚非兄弟科技有限公司
A,911101086782204535,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101086782204535,北京谷雨健科技有限责任公司
A,91110106677448915Y,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,91110106677448915Y,天津市华维劳务服务有限公司北京分公司
A,911101080804652619,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101080804652619,北京天一四方商贸有限公司
A,91110108600444940Q,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108600444940Q,北京精英煌模型制作中心
A,91110101080477086G,国家税务总局北京市东城区税务局,5/4/2025 18:31:18,91110101080477086G,北京投促汇网络信息有限公司
A,911101087488168358,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101087488168358,北京致信嘉和科技发展有限公司
A,91110111351600008C,国家税务总局北京市昌平区税务局,5/4/2025 18:31:18,91110111351600008C,北京华文苑图书销售有限公司
A,911101085906909526,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101085906909526,北京普世时代科技有限公司
A,91110107318132492W,国家税务总局北京市房山区税务局,5/4/2025 18:31:18,91110107318132492W,北京汇金建筑装饰有限公司
A,91110105735582697T,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105735582697T,北京世纪明泰经贸有限公司
A,91110105567447073Q,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105567447073Q,北京美之旅国际旅行社有限公司
A,911101085621400562,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,911101085621400562,北京实创科技园物业服务有限责任公司
A,91110108680460966G,国家税务总局北京市密云区税务局,5/4/2025 18:31:18,91110108680460966G,北京思诺睿景科技有限公司
A,91110106671743040X,国家税务总局北京市西城区税务局,5/4/2025 18:31:18,91110106671743040X,北京恒华宏光液压机电设备有限公司
A,91110105092438391K,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105092438391K,北京汉唐韵文化传媒有限公司
A,91110229777068426N,国家税务总局北京市延庆区税务局,5/4/2025 18:31:18,91110229777068426N,北京四海振富装饰中心
A,91110106051387292X,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,91110106051387292X,北京恒兴益华汽车科技有限公司
A,9111010810201303X9,国家税务总局北京市房山区税务局,5/4/2025 18:31:18,9111010810201303X9,北京阳宸电子技术公司
A,91110113722662698Y,国家税务总局北京市顺义区税务局,5/4/2025 18:31:18,91110113722662698Y,北京百环园林绿化工程有限公司
A,91110108766264771T,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108766264771T,天地融科技股份有限公司
A,91110000678206694T,国家税务总局北京市顺义区税务局,5/4/2025 18:31:18,91110000678206694T,通用磨坊贸易（上海）有限公司北京安泰大街店
A,91110108565822466D,国家税务总局北京市东城区税务局,5/4/2025 18:31:18,91110108565822466D,北京太和盛世国际酒店管理有限公司
A,911101017355775801,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101017355775801,汉森珍品（北京）国际货运代理有限公司
A,91110117076598168W,国家税务总局北京市平谷区税务局,5/4/2025 18:31:18,91110117076598168W,北京九州柏林生物科技有限公司
A,911101027855484890,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,911101027855484890,北京华通人商用信息有限公司
A,91110108668429042E,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108668429042E,北京博思汇科生物技术有限公司
A,911101055658061912,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,911101055658061912,北京楚尘文化传媒有限公司
A,91110111102827121T,国家税务总局北京市房山区税务局,5/4/2025 18:31:18,91110111102827121T,北京安顺园房地产开发有限公司
A,91110112082882413Y,国家税务总局北京市通州区税务局,5/4/2025 18:31:18,91110112082882413Y,北京润颐物流有限公司
A,91110108078524146W,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,91110108078524146W,北京瑰意琦行文化传媒有限公司
A,91110106317979915U,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,91110106317979915U,北京俊建环宇建筑工程有限公司
A,91110106306662242K,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,91110106306662242K,北京金源酒店管理有限责任公司
A,31110000773351283P,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,31110000773351283P,上海市方达（北京）律师事务所
A,911102290765752228,国家税务总局北京市延庆区税务局,5/4/2025 18:31:18,911102290765752228,派亚特机械设备（北京）有限公司
A,91110111765013743Y,国家税务总局北京市房山区税务局,5/4/2025 18:31:18,91110111765013743Y,北京老太太商贸有限公司
A,91110105721410405X,国家税务总局北京市朝阳区税务局,5/4/2025 18:31:18,91110105721410405X,北京好山河文化传媒有限公司
A,911101051012685080,国家税务总局北京市东城区税务局,5/4/2025 18:31:18,911101051012685080,北京怡光科技有限公司
A,9111010880206150XA,国家税务总局北京市海淀区税务局,5/4/2025 18:31:18,9111010880206150XA,北京市城堡物业管理有限公司
A,91110114691655064N,国家税务总局北京市昌平区税务局,5/4/2025 18:31:18,91110114691655064N,北京融人电子技术有限公司
A,911101060930829994,国家税务总局北京市丰台区税务局,5/4/2025 18:31:18,911101060930829994,北京科创能动科技有限公司
